location,Chennai,Chennai,Chennai,Chennai,Chennai,Chennai
lat,13.06744,13.06744,13.06744,13.06744,13.06744,13.06744
lon,80.25395,80.25395,80.25395,80.25395,80.25395,80.25395
asl,8.800,8.800,8.800,8.800,8.800,8.800
variable,Temperature,Precipitation Total,Relative Humidity,Mean Sea Level Pressure,Wind Speed,Wind Gust
unit,Â°C,mm,%,hPa,km/h,km/h
level,2 m elevation corrected,sfc,2 m,MSL,10 m,sfc
resolution,hourly,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None,None
timestamp,Chennai Temperature [2 m elevation corrected],Chennai Precipitation Total,Chennai Relative Humidity [2 m],Chennai Mean Sea Level Pressure [MSL],Chennai Wind Speed [10 m],Chennai Wind Gust
20210930T0000,29.1662,0.0,76.0,1008.3,6.130579,7.92
20210930T0100,29.0362,0.0,76.0,1007.6,6.519877,7.92
20210930T0200,28.8862,0.0,77.0,1007.1,7.42159,8.64
20210930T0300,28.7762,1.2,77.0,1007.0,7.6367526,7.92
20210930T0400,28.7462,1.9,74.0,1007.5,6.489992,8.28
20210930T0500,28.7462,0.5,72.0,1008.0,3.96,4.68
20210930T0600,28.7962,0.0,73.0,1008.6,1.484318,2.8799999
20210930T0700,29.6362,0.0,70.0,1009.5,2.5959969,5.7599998
20210930T0800,29.5762,1.0,68.0,1010.1,1.9386592,5.7599998
20210930T0900,29.9862,0.5,64.0,1010.5,3.563818,6.8399997
20210930T1000,30.7962,0.4,61.0,1009.4,3.219938,6.12
20210930T1100,31.3762,0.2,59.0,1008.4,2.52,5.7599998
20210930T1200,31.7662,0.4,58.0,1007.7,3.396233,6.12
20210930T1300,31.8762,0.4,57.0,1006.8,5.3517847,8.28
20210930T1400,31.7962,0.3,58.0,1006.2,7.2,9.72
20210930T1500,32.0362,0.2,59.0,1005.9,10.195057,12.599999
20210930T1600,31.2062,0.2,63.0,1006.2,12.387348,14.4
20210930T1700,30.7162,0.0,65.0,1006.5,14.021525,12.599999
20210930T1800,29.7362,0.0,71.0,1007.1,12.979984,11.879999
20210930T1900,29.2762,0.0,74.0,1007.9,12.594856,12.24
20210930T2000,28.9662,0.0,77.0,1008.3,12.24,12.24
20210930T2100,28.7262,0.0,79.0,1008.7,11.753877,12.24
20210930T2200,28.5662,0.0,79.0,1008.5,10.948973,10.799999
20210930T2300,28.426199,0.0,78.0,1008.2,10.495713,10.08
20211001T0000,28.2162,0.0,80.0,1008.0,10.009036,9.72
20211001T0100,27.9862,0.0,83.0,1007.1,9.290511,9.72
20211001T0200,27.9862,2.3,79.0,1007.8,11.525623,13.679999
20211001T0300,27.7762,0.9,76.0,1007.4,8.587338,11.159999
20211001T0400,27.4662,0.0,77.0,1008.1,6.3690495,8.64
20211001T0500,27.3362,0.0,79.0,1008.6,4.73506,7.2
20211001T0600,27.4062,0.0,78.0,1009.0,3.396233,4.32
20211001T0700,28.5062,0.0,73.0,1009.4,2.9024127,5.04
20211001T0800,29.6062,0.0,67.0,1009.6,1.609969,7.92
20211001T0900,30.7562,0.0,61.0,1009.7,1.835647,7.92
20211001T1000,31.7562,0.0,57.0,1009.0,5.8603754,12.599999
20211001T1100,32.3562,0.0,55.0,1008.2,9.726665,15.119999
20211001T1200,32.5162,0.0,55.0,1007.5,12.24,15.84
20211001T1300,32.2862,0.0,56.0,1006.5,13.722565,15.4800005
20211001T1400,31.9362,0.0,58.0,1006.0,14.05845,15.119999
20211001T1500,31.346199,0.0,60.0,1005.5,14.759999,15.4800005
20211001T1600,30.5762,0.0,63.0,1006.0,15.119999,15.84
20211001T1700,30.0462,0.0,67.0,1006.3,14.764389,16.56
20211001T1800,29.3562,0.0,71.0,1006.9,12.959999,14.759999
20211001T1900,29.1662,0.0,73.0,1008.1,11.885453,14.04
20211001T2000,28.9562,0.0,74.0,1008.8,11.212135,13.32
20211001T2100,28.7762,0.0,75.0,1009.6,10.594036,11.879999
20211001T2200,28.5862,0.0,76.0,1009.4,9.6932955,10.08
20211001T2300,28.5062,0.0,73.0,1009.0,9.107359,10.08
20211002T0000,28.2962,0.0,73.0,1008.6,7.8625183,8.64
20211002T0100,28.2462,0.1,73.0,1007.9,6.4799995,7.2
20211002T0200,28.1262,0.1,73.0,1007.5,5.2416787,6.8399997
20211002T0300,27.8262,0.0,75.0,1007.1,4.1046314,5.7599998
20211002T0400,27.6062,0.0,76.0,1007.6,4.510787,6.12
20211002T0500,27.3362,0.0,78.0,1008.0,6.0347,7.5599995
20211002T0600,27.4662,0.0,78.0,1008.4,7.072878,9.0
20211002T0700,28.6862,0.1,71.0,1009.0,9.178235,10.799999
20211002T0800,29.9862,0.0,65.0,1009.4,11.525623,12.599999
20211002T0900,30.9662,0.0,61.0,1009.8,14.84318,16.56
20211002T1000,31.1562,0.0,61.0,1008.8,15.629971,17.28
20211002T1100,31.5762,0.0,60.0,1007.9,15.986593,17.28
20211002T1200,31.996199,0.0,58.0,1007.2,16.923828,18.0
20211002T1300,31.926199,0.0,58.0,1006.2,17.727943,18.359999
20211002T1400,31.2462,0.0,62.0,1005.9,18.720001,19.08
20211002T1500,30.0262,0.0,68.0,1005.7,18.899143,19.44
20211002T1600,29.4562,0.0,70.0,1006.3,18.25026,19.08
20211002T1700,29.3062,0.1,70.0,1006.7,14.044615,15.119999
20211002T1800,28.8262,0.0,72.0,1007.1,12.245294,14.04
20211002T1900,28.7262,0.0,72.0,1007.8,12.24,13.679999
20211002T2000,28.5862,0.0,73.0,1008.5,11.5199995,12.599999
20211002T2100,28.4862,0.0,74.0,1009.1,10.799999,11.5199995
20211002T2200,28.3362,0.0,74.0,1008.8,9.72,9.72
20211002T2300,28.346199,0.2,74.0,1008.5,8.647496,9.0
20211003T0000,28.2162,0.1,75.0,1008.2,7.5942073,7.5599995
20211003T0100,28.0862,0.0,75.0,1007.6,6.5693827,6.8399997
20211003T0200,27.9662,0.0,76.0,1007.4,5.5887027,6.4799995
20211003T0300,27.7062,0.0,77.0,1007.1,4.3498964,5.7599998
20211003T0400,27.5462,0.0,78.0,1007.7,3.7064266,5.7599998
20211003T0500,27.3562,0.0,79.0,1008.2,3.219938,5.7599998
20211003T0600,27.3962,0.0,79.0,1008.7,2.6208394,5.7599998
20211003T0700,28.926199,0.1,73.0,1009.3,3.6179552,6.8399997
20211003T0800,29.6962,0.0,68.0,1010.0,5.4119864,7.92
20211003T0900,30.6862,0.0,64.0,1010.2,7.208994,10.799999
20211003T1000,31.3562,0.1,61.0,1009.5,8.64,10.799999
20211003T1100,31.5462,0.0,61.0,1008.7,10.105681,12.24
20211003T1200,31.9162,0.0,59.0,1007.9,11.609651,13.32
20211003T1300,32.006203,0.0,59.0,1006.8,12.429127,14.4
20211003T1400,31.7962,0.0,60.0,1006.3,13.493999,15.119999
20211003T1500,31.3762,0.0,61.0,1005.7,13.910169,14.759999
20211003T1600,30.7762,0.0,64.0,1006.3,13.556282,14.4
20211003T1700,29.2862,0.0,73.0,1006.0,13.009903,13.32
20211003T1800,28.6662,0.0,76.0,1006.5,12.413476,12.959999
20211003T1900,28.5562,0.0,76.0,1007.6,11.525623,11.159999
20211003T2000,28.4062,0.0,76.0,1008.2,11.525623,10.799999
20211003T2100,28.2462,0.0,77.0,1008.6,10.594036,9.72
20211003T2200,28.0662,0.0,78.0,1008.1,9.531505,8.28
20211003T2300,27.9662,0.0,78.0,1007.6,8.209263,7.2
20211004T0000,27.8962,0.0,78.0,1007.1,7.289444,6.4799995
20211004T0100,27.7362,0.0,79.0,1006.3,6.6087217,6.12
20211004T0200,27.5762,0.0,80.0,1005.8,6.1305785,6.4799995
20211004T0300,27.5362,0.0,80.0,1005.5,6.4096174,7.2
20211004T0400,27.5862,0.0,80.0,1006.1,6.3690495,7.5599995
20211004T0500,27.6162,0.0,78.0,1006.5,6.696387,7.2
20211004T0600,27.8362,0.0,77.0,1006.8,7.10031,8.28
20211004T0700,28.596199,0.0,74.0,1007.6,7.9932966,10.08
20211004T0800,28.9062,0.0,73.0,1008.0,8.669949,10.440001
20211004T0900,29.0762,0.0,72.0,1008.4,9.504272,11.159999
20211004T1000,30.2862,0.0,68.0,1007.7,10.1887,11.879999
20211004T1100,29.8262,0.0,70.0,1007.1,11.119281,12.24
20211004T1200,31.096199,0.0,64.0,1006.5,12.904882,15.119999
20211004T1300,31.1462,0.0,63.0,1005.6,13.70839,15.119999
20211004T1400,31.1162,0.0,64.0,1005.1,14.57889,15.84
20211004T1500,30.6962,0.0,66.0,1004.6,15.124284,16.199999
20211004T1600,30.096199,0.0,68.0,1005.1,15.30741,16.199999
20211004T1700,29.9062,0.0,71.0,1005.3,14.04,15.119999
20211004T1800,29.3262,0.0,73.0,1005.8,12.599999,14.04
20211004T1900,29.1462,0.0,74.0,1006.8,11.159999,12.599999
20211004T2000,29.0062,0.0,74.0,1007.5,9.72,10.799999
20211004T2100,28.8262,0.0,74.0,1008.1,8.64,10.08
20211004T2200,28.5762,0.0,75.0,1007.6,7.2805495,9.0
20211004T2300,28.3562,0.0,76.0,1007.1,6.379216,7.92
20211005T0000,28.1862,0.0,77.0,1006.6,5.8048253,7.5599995
20211005T0100,28.1662,0.0,77.0,1005.8,5.8603754,7.92
20211005T0200,28.1562,0.1,75.0,1005.5,7.2,9.72
20211005T0300,27.676199,0.0,77.0,1005.2,7.628263,10.08
20211005T0400,27.346199,0.0,80.0,1005.7,8.350138,10.799999
20211005T0500,27.0662,0.0,81.0,1006.2,9.028754,11.159999
20211005T0600,27.2262,0.0,81.0,1006.6,9.826088,12.24
20211005T0700,28.4862,0.1,74.0,1007.4,12.57426,15.119999
20211005T0800,29.2162,0.2,70.0,1008.1,14.578888,17.28
20211005T0900,29.5362,0.5,68.0,1008.5,15.459054,18.0
20211005T1000,29.1962,0.9,70.0,1007.9,15.778518,18.0
20211005T1100,29.096199,1.6,71.0,1007.3,15.629971,18.0
20211005T1200,29.0462,2.6,72.0,1006.7,16.485485,16.56
20211005T1300,28.846199,3.3,75.0,1005.8,17.974781,17.28
20211005T1400,28.4662,3.4,79.0,1005.3,19.878391,18.0
20211005T1500,27.9062,3.5,83.0,1004.9,21.313093,20.880001
20211005T1600,27.5762,2.0,84.0,1005.4,19.107151,18.72
20211005T1700,28.0462,0.0,78.0,1006.1,17.193533,19.44
20211005T1800,27.5262,0.0,81.0,1006.6,14.689589,17.64
20211005T1900,27.3062,0.0,82.0,1007.7,12.768586,16.199999
20211005T2000,27.1862,0.0,83.0,1008.3,9.339208,13.32
20211005T2100,27.1362,0.0,83.0,1008.7,7.4128532,11.5199995
20211005T2200,26.9862,0.0,84.0,1008.1,5.815978,10.440001
20211005T2300,26.8562,0.0,85.0,1007.7,4.73506,8.28
20211006T0000,26.6562,0.0,86.0,1007.4,3.9763298,6.12
20211006T0100,26.4862,0.0,86.0,1006.5,3.319036,6.4799995
20211006T0200,26.3362,0.0,87.0,1005.8,1.8,4.32
20211006T0300,26.2262,0.0,87.0,1005.4,2.0991426,3.96
20211006T0400,26.1662,0.0,87.0,1005.9,1.484318,1.8
20211006T0500,26.1162,0.0,87.0,1006.5,0.8049845,1.8
20211006T0600,26.1862,0.0,86.0,1006.9,1.08,1.8
20211006T0700,26.5162,0.0,84.0,1007.7,1.8,3.96
20211006T0800,27.3662,0.0,81.0,1008.1,3.8268526,4.32
20211006T0900,27.4362,0.0,80.0,1008.3,5.0911684,5.04
20211006T1000,28.5862,0.0,75.0,1007.5,7.8954163,7.2
20211006T1100,28.9662,0.0,73.0,1006.6,10.182337,8.64
20211006T1200,29.5062,0.0,71.0,1005.9,10.703569,8.28
20211006T1300,28.7662,0.0,73.0,1005.1,12.475961,10.08
20211006T1400,29.3562,0.0,71.0,1004.4,10.948973,9.0
20211006T1500,29.1262,0.0,72.0,1003.9,10.44,9.0
20211006T1600,28.9762,0.0,72.0,1004.3,9.957108,8.64
20211006T1700,29.2262,1.0,74.0,1004.3,4.5536795,8.28
20211006T1800,28.6462,2.4,78.0,1005.2,7.7043357,10.440001
20211006T1900,28.1862,0.7,81.0,1006.0,10.948973,11.879999
20211006T2000,27.6362,0.3,84.0,1006.8,13.397612,12.24
20211006T2100,27.5362,0.8,85.0,1007.5,16.199999,12.24
20211006T2200,27.3762,0.4,86.0,1007.0,15.986595,13.679999
20211006T2300,27.1462,0.1,87.0,1006.5,15.542662,14.04
20211007T0000,26.926199,0.0,87.0,1006.1,14.799459,18.359999
20211007T0100,26.7462,0.0,88.0,1005.5,15.379206,24.119999
20211007T0200,26.6462,0.0,87.0,1005.2,17.917007,25.919998
20211007T0300,26.3362,0.0,88.0,1005.0,19.161337,22.68
20211007T0400,26.2062,0.4,89.0,1005.6,19.969458,20.880001
20211007T0500,25.9362,0.0,90.0,1006.2,19.08,23.039999
20211007T0600,25.8662,0.0,90.0,1006.7,19.469976,23.4
20211007T0700,26.7162,0.0,86.0,1007.6,21.485697,23.759998
20211007T0800,28.096199,0.0,79.0,1008.0,22.86496,25.56
20211007T0900,29.4762,0.1,73.0,1008.2,20.746122,21.96
20211007T1000,29.0562,0.9,75.0,1007.5,17.84816,20.16
20211007T1100,29.1962,0.8,73.0,1006.8,15.629971,18.359999
20211007T1200,29.4362,0.5,72.0,1006.2,14.618837,18.0
20211007T1300,29.6562,0.3,70.0,1005.2,13.324863,16.56
20211007T1400,30.7362,0.1,66.0,1004.5,12.313894,15.84
20211007T1500,30.5862,0.0,65.0,1003.9,11.753876,15.4800005
20211007T1600,30.7762,0.0,64.0,1004.2,10.97262,15.119999
20211007T1700,29.6062,0.0,71.0,1004.8,19.803272,18.0
20211007T1800,28.846199,0.0,76.0,1005.3,18.359999,18.72
20211007T1900,28.5262,0.0,78.0,1006.1,18.0,20.880001
20211007T2000,28.3662,0.0,80.0,1006.7,16.203999,20.16
20211007T2100,28.2362,0.0,81.0,1007.3,15.119999,21.599998
20211007T2200,28.176199,0.0,81.0,1007.3,16.343367,13.679999
20211007T2300,28.2462,0.2,79.0,1007.0,18.888851,15.4800005
20211008T0000,28.2462,1.6,79.0,1006.7,20.532627,18.359999
20211008T0100,27.8862,1.4,82.0,1006.2,22.505037,18.0
20211008T0200,27.2362,1.5,85.0,1006.2,24.535524,23.4
20211008T0300,26.8162,0.8,88.0,1005.9,24.033876,24.48
20211008T0400,26.5562,0.0,89.0,1006.5,22.79684,24.119999
20211008T0500,26.346199,0.0,90.0,1006.8,21.933426,23.759998
20211008T0600,26.4662,0.0,89.0,1007.2,21.461555,25.56
20211008T0700,27.5262,0.0,85.0,1008.1,22.057161,24.119999
20211008T0800,28.8962,0.0,79.0,1008.5,22.057161,23.039999
20211008T0900,30.5362,0.2,71.0,1008.3,20.608229,21.96
20211008T1000,29.8362,2.6,72.0,1007.7,16.831684,18.359999
20211008T1100,29.9062,1.3,69.0,1007.4,14.685176,18.359999
20211008T1200,29.8762,0.9,67.0,1007.0,12.620554,18.0
20211008T1300,29.8862,0.6,67.0,1006.1,11.659777,16.56
20211008T1400,30.1262,0.2,66.0,1005.4,12.849528,18.0
20211008T1500,30.596199,0.2,64.0,1004.8,13.004921,18.72
20211008T1600,30.6662,0.0,62.0,1005.1,11.928989,18.72
20211008T1700,31.7262,0.0,57.0,1004.7,14.021525,16.199999
20211008T1800,30.9162,0.0,60.0,1004.9,10.630672,14.759999
20211008T1900,30.3762,0.1,66.0,1005.6,9.72,13.679999
20211008T2000,29.8162,0.0,74.0,1006.0,12.959999,15.4800005
20211008T2100,29.6362,0.0,79.0,1006.5,14.759999,16.199999
20211008T2200,29.1662,0.0,82.0,1006.5,16.343367,16.199999
20211008T2300,28.676199,0.0,83.0,1006.0,16.854767,15.119999
20211009T0000,28.1862,0.0,84.0,1005.5,17.727943,15.84
20211009T0100,27.7162,0.0,84.0,1004.9,17.786331,15.4800005
20211009T0200,27.2562,0.0,85.0,1004.6,15.7908325,22.68
20211009T0300,26.926199,0.0,86.0,1004.3,15.530151,25.56
20211009T0400,26.7562,0.0,86.0,1005.0,14.255272,18.0
20211009T0500,26.7162,1.1,87.0,1005.8,11.212135,12.599999
20211009T0600,26.8262,1.8,84.0,1006.2,14.458382,17.28
20211009T0700,27.9462,1.6,77.0,1007.5,16.23596,18.0
20211009T0800,30.0162,0.1,66.0,1007.7,17.462784,23.039999
20211009T0900,33.2162,0.0,51.0,1007.7,15.807239,20.519999
20211009T1000,32.6962,1.6,52.0,1007.0,14.021525,18.72
20211009T1100,32.7862,1.2,51.0,1006.2,11.183201,15.84
20211009T1200,33.3562,1.0,50.0,1006.1,9.0,14.4
20211009T1300,33.3362,1.7,50.0,1005.3,6.297428,12.959999
20211009T1400,32.986202,2.4,53.0,1004.8,3.5455887,11.5199995
20211009T1500,32.596203,2.5,58.0,1004.4,0.0,9.0
20211009T1600,31.8062,3.2,68.0,1004.7,4.2136917,3.6
20211009T1700,31.096199,3.4,78.0,1005.1,5.506941,8.64
20211009T1800,30.6562,2.6,76.0,1005.4,9.19939,11.159999
20211009T1900,30.4162,2.0,74.0,1006.3,9.114471,13.679999
20211009T2000,30.0862,1.2,72.0,1006.7,9.693296,15.119999
20211009T2100,29.4662,1.6,72.0,1007.4,12.738099,18.359999
20211009T2200,28.6662,0.2,76.0,1007.1,13.830749,19.44
20211009T2300,28.3062,1.5,78.0,1006.6,12.682018,19.44
20211010T0000,28.0162,1.6,80.0,1006.2,11.923557,15.84
20211010T0100,27.676199,1.7,81.0,1005.5,11.923557,15.84
20211010T0200,27.3562,1.6,83.0,1005.1,11.753877,18.359999
20211010T0300,27.0562,1.2,85.0,1004.6,11.269782,17.28
20211010T0400,26.8062,1.5,87.0,1004.9,12.245293,16.199999
20211010T0500,26.5762,2.0,88.0,1005.4,12.496719,20.16
20211010T0600,26.5662,2.0,85.0,1006.3,9.290511,15.4800005
20211010T0700,26.9662,1.6,83.0,1007.6,8.39657,12.959999
20211010T0800,27.7362,0.8,77.0,1008.3,9.9571085,15.84
20211010T0900,29.6462,0.0,65.0,1008.3,12.074766,19.8
20211010T1000,31.5462,0.0,58.0,1007.2,11.480557,16.56
20211010T1100,32.896202,0.0,53.0,1006.3,9.387651,14.759999
20211010T1200,32.206203,0.8,55.0,1005.7,7.2,12.599999
20211010T1300,32.1962,1.1,55.0,1005.2,5.04,11.879999
20211010T1400,32.0662,1.2,55.0,1004.7,3.2399998,11.5199995
20211010T1500,31.8262,1.2,57.0,1004.3,2.16,10.799999
20211010T1600,31.6162,0.7,58.0,1004.5,1.484318,8.64
20211010T1700,31.5862,0.0,59.0,1004.9,3.0547013,7.5599995
20211010T1800,30.8162,0.0,64.0,1005.3,1.2979984,5.3999996
20211010T1900,30.1962,0.0,68.0,1006.1,3.319036,5.04
20211010T2000,29.5362,0.0,71.0,1006.6,5.4833565,4.68
20211010T2100,28.9762,0.0,74.0,1007.0,5.3517847,5.04
20211010T2200,28.6562,0.0,76.0,1006.5,6.28713,6.4799995
20211010T2300,28.3562,0.0,78.0,1006.2,8.373386,8.64
20211011T0000,28.2062,0.8,80.0,1006.1,7.968939,11.879999
20211011T0100,27.9662,0.2,82.0,1005.3,8.699793,8.28
20211011T0200,27.7062,0.0,84.0,1004.6,7.928177,8.28
20211011T0300,27.426199,0.0,85.0,1004.3,8.14587,9.72
20211011T0400,27.4462,1.0,85.0,1004.9,9.290511,9.36
20211011T0500,27.3862,1.4,85.0,1005.5,10.495713,17.28
20211011T0600,27.1362,0.2,84.0,1006.2,6.519877,14.04
20211011T0700,27.926199,0.0,79.0,1007.1,5.692099,10.440001
20211011T0800,29.676199,0.1,70.0,1007.6,6.3690495,8.64
20211011T0900,31.1462,0.0,62.0,1007.4,3.319036,6.8399997
20211011T1000,31.3162,1.1,61.0,1006.7,4.0249224,8.64
20211011T1100,31.6962,0.4,58.0,1005.7,5.6920996,10.799999
20211011T1200,31.8662,0.3,57.0,1005.2,6.162207,11.159999
20211011T1300,31.7662,0.4,58.0,1004.2,6.193674,10.799999
20211011T1400,31.5562,0.4,59.0,1003.6,7.289445,11.879999
20211011T1500,30.8162,0.5,62.0,1003.1,8.089993,12.24
20211011T1600,30.2662,0.2,67.0,1003.3,7.2359104,5.7599998
20211011T1700,29.8662,0.0,71.0,1003.8,7.0911775,3.96
20211011T1800,29.1662,0.0,75.0,1004.2,7.928178,6.4799995
20211011T1900,28.9762,0.0,76.0,1005.2,5.95906,6.12
20211011T2000,28.9862,0.0,75.0,1005.8,4.8433046,6.12
20211011T2100,29.0362,0.0,74.0,1006.4,4.6800003,6.12
20211011T2200,28.8562,0.0,76.0,1005.9,5.506941,5.04
20211011T2300,28.6662,0.0,77.0,1005.7,6.4799995,6.8399997
20211012T0000,28.5062,0.0,79.0,1005.3,6.519877,10.08
20211012T0100,28.2862,0.0,81.0,1004.2,6.151683,10.440001
20211012T0200,28.2062,0.0,83.0,1003.9,5.5887027,4.68
20211012T0300,28.2762,0.0,83.0,1003.6,5.4477882,3.96
20211012T0400,28.2362,0.0,83.0,1004.1,6.6087217,3.2399998
20211012T0500,28.1662,0.0,82.0,1004.8,7.4128532,4.32
20211012T0600,27.6662,2.7,81.0,1005.3,10.594036,9.0
20211012T0700,28.0762,1.6,75.0,1006.3,10.538843,11.159999
20211012T0800,29.6362,0.5,67.0,1006.9,11.901798,11.5199995
20211012T0900,32.276203,0.0,56.0,1007.2,8.647496,10.08
20211012T1000,33.686203,0.0,50.0,1005.9,4.8965297,7.5599995
20211012T1100,33.4462,0.2,49.0,1005.2,4.452954,5.7599998
20211012T1200,34.396202,0.0,48.0,1004.5,6.489992,6.12
20211012T1300,32.916203,0.9,53.0,1003.8,9.0,7.92
20211012T1400,31.9362,1.1,60.0,1003.3,9.72,7.92
20211012T1500,31.7662,0.4,63.0,1002.9,9.178235,7.92
20211012T1600,31.1962,0.4,67.0,1003.4,9.085988,8.28
20211012T1700,30.5662,0.0,71.0,1004.0,9.220499,7.92
20211012T1800,29.7262,0.0,75.0,1004.4,8.209263,7.92
20211012T1900,29.4862,0.6,76.0,1005.6,7.729527,8.28
20211012T2000,29.2962,1.5,76.0,1006.3,8.699793,9.36
20211012T2100,29.1662,1.8,77.0,1007.1,8.557102,10.08
20211012T2200,28.8962,1.8,81.0,1006.6,7.8625183,12.599999
20211012T2300,28.7762,0.0,83.0,1006.1,8.311245,8.64
20211013T0000,28.5662,0.0,85.0,1005.5,7.9526596,6.4799995
20211013T0100,28.2962,0.0,85.0,1004.6,6.792466,5.7599998
20211013T0200,28.2062,0.0,81.0,1004.2,8.427383,10.799999
20211013T0300,27.9662,0.0,79.0,1003.9,8.905908,12.959999
20211013T0400,27.5662,0.0,80.0,1004.5,9.793058,13.679999
20211013T0500,27.1462,0.0,82.0,1005.3,12.224107,17.28
20211013T0600,26.7762,0.0,79.0,1005.7,14.417988,20.519999
20211013T0700,28.0062,0.0,72.0,1006.6,14.003029,21.24
20211013T0800,30.0262,0.0,64.0,1006.5,12.313894,16.199999
20211013T0900,31.976198,0.0,57.0,1006.9,11.269782,11.159999
20211013T1000,32.076202,0.4,56.0,1006.1,10.446206,10.799999
20211013T1100,32.236202,0.4,56.0,1005.4,9.9571085,10.08
20211013T1200,32.1262,0.9,58.0,1004.7,9.585739,9.72
20211013T1300,31.4762,1.2,62.0,1003.7,9.422101,9.0
20211013T1400,31.9462,1.1,63.0,1003.1,9.085988,10.799999
20211013T1500,31.3962,0.2,65.0,1002.8,9.504273,10.799999
